	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
g1037	8802.650451634785	0.10153572889038502	0.09415850767366052	1.0783489606939487	0.2808780550820549	0.47068496677054145
g1038	1098.5177613626922	0.7074072461561938	0.1212209465963293	5.835684887958257	5.357005568352225e-09	3.2099517492904203e-07
g1039	155.82106668908466	0.2644003599802532	0.2349163260441139	1.1255086627338222	0.26037354843645344	0.45046294470559656
g104	925.8546756547054	-0.03889448328453698	0.1343067215613223	-0.2895944658047392	0.7721265013148314	0.8690451826068838
g1040	2906.832474525019	0.16995167161025074	0.10590298272192815	1.604786449277795	0.10854080910396884	0.2434590340864423
g1041	1229.2068577699058	-0.37287717302416856	0.1517530171664029	-2.4571318579800936	0.014005127152568995	0.057529221981445
g1042	736.1663403731363	-0.21217979946136956	0.14117582221038621	-1.502947148734648	0.1328526733427123	0.2797822985817207
g1043	313.70256887992474	0.02964808453971578	0.23452960635526132	0.1264151038347175	0.899403346934399	0.9489233188030622
g1044	834.2202767751205	-0.15830413565689108	0.15854566640250475	-0.9984765856355827	0.31804831278125734	0.5051116812465622
g1045	285.6136580108617	0.2340568749850254	0.16642350537548997	1.4063931321296166	0.1596074185295644	0.3184556051528042
g1046	2217.491506607657	-0.15337985028677695	0.09487541686671906	-1.6166448101329018	0.10595497339992196	0.24022824299381706
g1047	482.06359644167577	0.25380942910766996	0.14250240202341666	1.7810887781804747	0.07489794868969842	0.18853219351633063
g1049	146.3788371094283	-0.44627547563046205	0.22344112011945133	-1.9972844541411345	0.04579429114829187	0.13495195088587184
g105	1252.9989299598817	0.6938073417546631	0.10721100915334501	6.4714188144829725	9.708691887428996e-11	1.0471517678584131e-08
g1050	491.9055039803927	-0.0959134386788783	0.16189386929809296	-0.5924463915447854	0.5535517087527891	0.7210689097797719
g1051	59.101218471302424	0.6130354364693468	0.39211954958151196	1.563389117231228	0.11796109832371034	0.2574006625271714
g1052	3340.1766646147225	-0.1318630655351073	0.09725013002977916	-1.3559165987205288	0.17512570560458074	0.3386780423449243
g1053	416.3483989935416	0.1524143362247514	0.14933695548034037	1.0206069605109644	0.30744069039007915	0.4952013948658621
g1054	559.1851562055386	0.21034423089656973	0.12611804344116237	1.6678361411045934	0.09534825926262472	0.22218498686198043
g1055	3710.7979047742865	-0.03530762199994539	0.12366502586430718	-0.28551016549082414	0.7752533174402239	0.8710063313502514
g1056	371.96236038174874	-0.054940723496931895	0.14742595928254384	-0.3726665491227176	0.7093966357708205	0.8311521725744405
g1057	341.7260401923907	0.2767158936367336	0.1732214849936889	1.5974686606965378	0.11016127806329894	0.24574618110882984
g1058	601.0948698728278	-0.23486182922042723	0.13708537443484947	-1.7132522720871768	0.08666613881162963	0.2079478734324711
g1059	478.937869163034	-0.21527859064836727	0.1423663385454359	-1.5121453065933952	0.13049690119199753	0.2775356630984736
g106	1064.6947435137092	0.9541177108804464	0.4432685452629826	2.1524597697641434	0.0313611605658079	0.1032156766660199
g1060	1014.6264874087332	-0.2221371364116592	0.12503168192022324	-1.7766467906381869	0.07562637198548522	0.18969405597688152
g1061	1073.3686970428594	-0.23660309640170052	0.12619130286443744	-1.8749556509126013	0.06079882500131667	0.16347262420225814
g1062	857.6005408917463	-0.023281290041005598	0.11822650157627419	-0.1969210771747788	0.8438892994185931	0.9147996980053265
g1063	205.1352790244166	0.4917223996629139	0.21017783321820582	2.339554043990974	0.01930677802236272	0.0724483966544923
g1064	897.133967655048	0.20441432896750164	0.12478908565984984	1.6380785858524065	0.10140530144557725	0.2325668365474205
g1065	85.72508355583234	0.5228038738390096	0.3096187485099796	1.688540750051377	0.09130747341722271	0.21569819283480335
g1066	1232.7379904454253	-0.044868223475084346	0.1303843355902071	-0.3441228064090722	0.7307539321186671	0.8446936767067584
g1067	1432.3774047370819	-0.10201439722132376	0.12228390724408171	-0.8342422115912643	0.40414450886375	0.5930572790171882
g1068	2708.2942006352846	-0.2015295482158761	0.0900864465579383	-2.2370684594187447	0.025281866013215464	0.08812469455206683
g1069	603.9694875871321	0.07928531024646496	0.12482020404161388	0.6351961275438388	0.525300508559045	0.6975059513930337
g107	3061.0962995056834	0.14175139500938866	0.10274453584915208	1.379648988998362	0.16769474609223445	0.32954069052482304
g1070	598.2798901750102	0.07554757775342377	0.12500852772142282	0.6043393929234887	0.5456180211635815	0.7157070455417424
g1071	164.89883055457608	0.011724630783745667	0.2490164120888597	0.04708376723202413	0.9624464648607769	0.9801478198000476
g1072	1200.5563411593705	0.012214809924271713	0.1099613682332361	0.11108273860655506	0.9115507366179486	0.9545364856401543
g1073	697.6459091542637	0.3953301268712751	0.12267095733766993	3.2226872232118526	0.0012699414208860503	0.009511962031438174
g1074	858.5347516797065	-0.19504579021341312	0.12730009964302572	-1.5321731150278715	0.12547972102972646	0.26938819050881896
g1075	114.05148879839335	0.843903622716085	0.44821168451938737	1.8828237903279874	0.05972425186251614	0.16127256851287441
g1076	220.90808768691355	0.1440452505030001	0.25606107880482887	0.5625425432687182	0.5737464262620995	0.7366982173943625
g1077	1171.3224498606548	0.49977737572753905	0.1404922874375322	3.5573296217399664	0.0003746439369975705	0.0035986790385898948
g1078	2503.857046586048	-0.21001830487179152	0.10210275899615555	-2.0569307522796647	0.03969288737443285	0.12162390408967856
g1079	1041.9710931477214	-0.2727927006499047	0.10288624112446071	-2.651401175400211	0.008015856710493005	0.038369978730280765
g108	103.69768273192959	1.0368084285069628	0.312825799079173	3.3143315914444673	0.0009186249773225586	0.007378317637005657
g1080	1378.032781011576	-0.5479109459021447	0.10770682539642903	-5.087058725252434	3.6365925518348307e-07	1.203777486674884e-05
g1081	605.3229542704969	-0.14985844039794405	0.12147142545004606	-1.2336929433628148	0.21731734443071904	0.39750346435349304
g1082	3937.1485476971297	-0.24162764346147889	0.09019963543560586	-2.6788095350338583	0.007388440759812131	0.03617556921957302
g1083	405.69921130259195	0.06412107051213337	0.14654281520634038	0.4375586098973692	0.6617062806628258	0.798064284185996
g1084	378.7446363491676	0.11309199543863417	0.17682482852267667	0.6395707909544548	0.5224516770340693	0.6951903703925313
g1085	481.97683684739894	1.1614709163806118	0.22696827300305095	5.117327197378812	3.0989576002569624e-07	1.0635059037245486e-05
g1086	1752.2226683656356	-0.11397016334082631	0.11409379563080271	-0.9989163977822557	0.3178351920108111	0.5051116812465622
g1087	423.98624742081694	-0.6519107607393567	0.14005377942483127	-4.6547173765435295	3.2442540485633186e-06	7.551578309698759e-05
g1088	535.412518103604	0.1596142489376809	0.1435308727637576	1.1120551687886375	0.26611443070000684	0.45621343137716885
g1089	966.1918925606077	0.11564560900857754	0.1649452790097625	0.7011149982760823	0.48323125106533815	0.6647951795815057
g109	1094.414243077528	-0.13353227809732526	0.12373881042786714	-1.0791462891520778	0.28052251885642787	0.47068496677054145
g1090	105.63597334600952	0.6532487765713175	0.3218874728107463	2.0294321206945356	0.042414296250577375	0.12778449189619281
g1091	787.8541597224371	-0.33693622352406316	0.1755612056607133	-1.9191952017874643	0.054959634553171564	0.1531497529691861
g1092	1281.5293349272313	0.14579454660581054	0.1150482757823543	1.267246689395166	0.20506709598247308	0.3817200627878875
g1093	945.8498984787874	-0.32208033350787235	0.1340333892678683	-2.4029858176919525	0.016261818093957006	0.06415037702535309
g1094	247.77591015633377	0.0954830626260402	0.18102047957027367	0.527471051080565	0.5978665144478854	0.7515638002133758
g1095	815.6139487848396	0.05875326143687368	0.13632472882169783	0.4309802186639108	0.6664827538357134	0.8017553977543989
g1096	391.8531067182915	-0.1388335640113029	0.2369488805687249	-0.5859220084858576	0.5579279267350786	0.7253383844365799
g1097	326.3898101766806	-0.2687700804173318	0.23351078130721759	-1.1509964504111074	0.24973369584152671	0.43665803696237304
g1098	478.4954345383458	-0.20947012290070596	0.1782090977903774	-1.1754176722621652	0.23982765667012262	0.42584638002338326
g1099	2182.5149141532966	0.014330746149935323	0.11552655617090567	0.12404720286766753	0.9012779011721869	0.9496560174575045
g11	820.7080507264253	0.09556597020127365	0.11242708876700853	0.8500261925248505	0.39531052415541346	0.5849851935267291
g110	369.7354824052242	-0.35284594108417844	0.14551520982512217	-2.424804537671512	0.015316630879669675	0.06157644469728757
g1100	1132.9359580036653	-0.15789922596474745	0.10614789510521937	-1.4875398688615489	0.13687228144716487	0.2857814504773492
g1101	836.2800511056477	-0.8260934480828196	0.12629248771089738	-6.54111311809672	6.106262161376645e-11	7.4358515029667215e-09
g1102	615.386860244684	0.13592828430312154	0.13426469421462028	1.0123903763251567	0.31135143793241604	0.49929977833257033
g1103	1267.3821685279265	-0.2359916351230114	0.10960567336945969	-2.1530968960660357	0.031311064155973185	0.10314072180523454
g1104	196.0921013689522	-0.12120067447475157	0.19394546623546513	-0.6249214112981861	0.5320226388531165	0.702691716675472
g1105	2426.3798554236223	-0.27829803354645927	0.11242383374042708	-2.4754362512580337	0.013307351622665404	0.05550856616084188
g1106	557.3088828736531	-0.3055589156707655	0.14441553099153398	-2.1158314038167974	0.0343591491862183	0.11001339116028337
g1107	1335.611893950474	-0.5768286417916124	0.13072412235562264	-4.41256465445914	1.0215327452062915e-05	0.00020189979650019632
g1108	788.7222979650829	0.03221906228446423	0.12834214065077254	0.25104039967772107	0.8017828746374261	0.8894300181476004
g1109	1763.621698752302	0.029225598283080138	0.12186034639665323	0.2398286165045957	0.8104631215169954	0.8948517940118916
g111	1296.9675223387358	-0.3654416863878882	0.11325947733449028	-3.226588140687122	0.001252756409533548	0.009404212569020017
g1110	894.9504515173921	0.17175785992818432	0.12946521425684146	1.3266718856807358	0.18461724493514142	0.35162971727051406
g1111	140.70451592200968	0.48855327119969777	0.22846710191715652	2.1383965879553637	0.03248456917436783	0.10553129244542972
