	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Expression
g4033	38.12042893451732	1.8981296196989537	0.7039597278582534	2.6963610908167652	0.007010162905729551	0.03477446119465053	UP
g404	32.758993876556296	1.9176809746961494	0.6047004776394156	3.171290656462268	0.0015176321016202585	0.01101025405921076	UP
g411	27.2659955253515	1.8329747716647358	0.6423917024337004	2.8533599744836566	0.004325958780906683	0.02430133094928977	UP
g414	64.0026186025781	1.7380186239586561	0.45935534753803736	3.783603768354385	0.00015457383571909085	0.001789927085397448	UP
g480	2175.7951406806856	1.1841761876145664	0.4222773267983763	2.8042618262097028	0.005043193263737944	0.026851981058689335	UP
g557	25.60782885882899	1.5225386700634407	0.5652574504464621	2.693531361436954	0.007069949383823248	0.03502054828973001	UP
g563	56.772416858356365	1.228690771194465	0.41733583958703957	2.9441295346459437	0.003238644186594278	0.019576838775296382	UP
g583	84.47045363070256	1.449897725173414	0.5542767644081414	2.615837102104793	0.008900901079208969	0.04149697615123363	UP
g591	53.26344373509922	1.6318340506839035	0.5171520489712507	3.1554241231955746	0.001602649462144628	0.011434838513616945	UP
g593	34.48587239247145	2.480005593857061	0.7465276805471689	3.3220544374715435	0.0008935725852515097	0.007269906270095796	UP
g658	33.35587642053323	1.4373674235324754	0.515043342057966	2.7907698365523297	0.005258284961122946	0.027569480178109892	UP
g665	35.55676193424586	1.5730193847267893	0.603262795869835	2.6075193025266503	0.009120092833286604	0.042243374779947156	UP
g684	64.01048139232111	1.364357485740288	0.5243680200129852	2.6019082660809514	0.009270664628895087	0.042783323929191874	UP
g707	13854.1851619928	1.4747765398345958	0.43456446497609935	3.393688758964006	0.0006895801678166852	0.005823635645431738	UP
g708	236.16606238771055	2.5929120222805575	0.7156914135744071	3.6229469476665503	0.0002912655786560027	0.0029418298111998555	UP
g711	587.8919024446711	1.2474532668217868	0.23315730413429334	5.350264584047865	8.782573296303288e-08	3.5270440631430754e-06	UP
g731	64.70595237211363	1.6054393348527394	0.3426879899770873	4.684842719349697	2.8017499359636022e-06	6.779875646322179e-05	UP
g824	57.33939331555823	1.2309514260051508	0.34686008327811313	3.5488414070931635	0.00038693004478883975	0.0036425459328625186	UP
g845	1149.862090324921	-1.1425045564214118	0.12915188937884847	-8.84620861464937	9.054292594556285e-19	1.1393318181483324e-15	DOWN
g954	583.7145822787161	1.0564163604337542	0.21332906260329776	4.952050824871639	7.343541720354858e-07	2.1489821701038443e-05	UP
g986	73.59174583980437	1.1340941148352526	0.3238609397655181	3.50179344151956	0.0004621377526976736	0.004183621142526901	UP
