	Merozoite_1	Merozoite_2	Merozoite_3	IntraEri_1	IntraEri_2	IntraEri_3
g1124	1782.3577053098304	1659.872763874915	1438.407885028484	2422.307767236193	2463.489163759857	2625.5810062672867
g1125	400.9312432879574	363.85183766802214	471.70870825001657	462.62107357871554	516.034421227882	526.4710900882433
g1126	1363.563188806073	1115.7049712563687	1090.193731298858	1632.0794956296318	1628.630928142774	1665.9326001432023
g1127	523.9893476634691	428.2503930074951	445.39019663091693	684.9968686036775	585.0581336214203	598.6673094275502
g1128	256.0402494264678	291.40346291111507	263.1851161909964	379.2301504443548	405.9251657429518	372.5944295661281
g1129	27.787313891244573	12.87971106789459	17.208257597103607	15.883985358925855	16.43421723655675	24.194443478320004
g113	3814.801235640862	3683.5973654178524	3313.095712665889	3548.085229550063	3546.504079648947	3538.5825253651706
g1130	20151.756995557582	23148.06071677355	19398.767564170208	24610.249815485746	25030.95627299959	24676.783903503794
g1131	1036.0698465164048	1378.129084264721	1072.9854737017545	847.8077185326675	943.3240693783575	912.033741358751
g1132	651.0170683091585	544.1677926185464	565.8479998106422	567.8524765815994	627.7870984364679	610.667753392797
g1133	1974.8840944134536	2099.392904066818	1772.4505325016717	2569.2346318062573	2369.814125511484	2591.9023409454653
g1134	4312.988077548175	4515.94869318054	6563.938022848139	3522.2737533418085	3548.1475013726026	3507.0329710694414
g1135	3931.904915611107	4239.034905220807	8245.792140353295	3651.331134383081	3058.4078277232115	3299.541423799369
g1136	5291.498488147002	6386.726725792229	5440.846152025406	5144.425758122112	4667.317695182118	5054.316020394962
g1137	446.58183039500204	418.5906097065741	383.64291937072164	273.998747441471	274.45142785049774	237.87976827884228
g1138	545.822237149447	777.6125557241359	604.3135167924032	418.9401138416694	466.73176951821176	520.8579792012731
g1139	125.04291251060057	77.27826640736754	99.20054379506786	45.66645790691184	31.22501274945783	53.22777565230401
g114	301.6908365335125	350.9721266001276	335.05489792007614	357.38967057583176	400.9949005719847	356.91643019217673
g1140	2707.278296261257	2072.023518047542	1874.687827637405	1643.9924846488261	1360.7531871868991	1501.9910511341059
g1141	2234.893960110099	2078.463373581489	3782.7799200221284	1767.0933711805014	1682.8638450234114	1669.2230444562538
g1142	1298.0645203481392	1297.6308900903798	2022.4763928831183	1266.747832374337	1245.7136665310018	1276.6923934639901
g1143	353.29584804582385	301.063246212036	583.5623826311901	321.6507035182486	432.21991332144256	354.593763618258
g1144	236.19216807557888	175.4860633000638	439.31669394958624	81.40542496449501	119.96978582686428	102.58444034807682
g1145	3169.73859173697	3329.405311050751	4903.34116472764	5059.049336817885	4172.647756361759	4447.132266863044
g1146	2028.4739140608538	1901.3673463979387	2004.255884839126	1669.8039608570805	1668.0730495105104	1593.7363808038954
g1147	867.3611550338485	529.678117667165	593.1787618766302	857.7352093819962	770.7647883945117	779.2546355497308
g1148	206.4200460492454	207.68534096980025	222.69509831545847	295.83922730999404	241.58299337738424	281.62332208764485
g1149	637.1234113635363	412.1507541726269	459.5617028873552	760.4457990585753	751.0437277106436	741.8984148192046
g115	196.4960053738009	212.51523262026072	203.46233982457795	242.2307767236193	269.52116267953073	229.36332417447366
g1150	748.2726669285146	582.8069258222301	603.3012663455147	738.6053191900522	734.6095104740868	743.059748106164
g1151	446.58183039500204	318.7728489303911	541.5539890853195	337.5346888771744	333.6146099021021	348.01287499215493
g1152	641.0930276337141	637.5456978607822	681.2445507559253	587.7074582802567	645.8647373966803	671.2506398625102
g1153	537.8830046090914	416.98064582308734	399.8389265209368	462.62107357871554	517.6778429515376	517.373979340395
g1154	893.1636607900041	861.3306776654507	791.579849466766	927.2276453272968	981.1227690224381	965.8421836545346
g1155	1808.160211065986	1685.6321860107043	1473.8366506695797	1622.152004780303	1590.8322284986937	1677.5459330127958
g1156	1536.241496558807	1207.4729126151178	1345.2808439147468	1572.5145505336598	1561.2506374728914	1592.7686030647626
g1157	871.3307713040263	936.9989801893314	997.0666901851208	1451.39916217185	1304.876848582606	1279.5957266813884
g1158	271.918714507179	233.44476310558943	280.39337378809995	236.2742822140221	285.9553799160875	254.52554539192644
g1159	799.8776784408259	788.8823029085436	717.6855668439093	1119.8209678042729	1056.720168310599	928.0988518283554
g116	2177.3345241925213	1869.1680687282023	1701.5930012194804	2263.4679136469344	2271.2088220921432	2227.437244388053
g1160	672.8499577951364	597.2966007736115	604.3135167924032	681.0258722639461	848.0056094063284	730.285081949611
g1161	15231.417628672203	14599.152495458517	13793.936839748874	13642.357925147444	13119.435619943255	13456.949462641587
g1162	730.4093937127145	1236.4522625178806	903.9396490713837	966.9376087246114	844.718765959017	903.5172972543822
g1163	660.941108984603	842.0111110636087	769.3103396352202	1014.589564801389	946.610912825669	999.7144045241826
g1164	1879.6133039291865	1994.7452516401745	2128.7626898064054	1735.3254004626497	1812.6941611922098	1935.361922717774
g1165	680.789190335492	718.0438920351233	607.3502681330685	704.8518503023348	754.3305711579549	660.2179736363963
g1166	668.8803415249587	729.3136392195311	804.7391052763159	553.9539893925393	659.0121111859257	567.6984217753006
g1167	345.35661550546826	378.34151261940355	325.94464389808013	275.98424561133675	317.1803926655453	283.3653220180839
g1168	1627.5426707728964	1611.5738473703104	1600.3679565306356	1910.0492394108342	1699.2980622599682	1795.8083727348242
g1169	1032.100230246227	1371.6892287307737	1208.6270335848064	1076.1400080672267	1027.138577284797	1002.617737741581
g117	277.8731389124457	259.2041852413786	310.7608871947534	307.75221632918846	379.630418164461	336.39954212256134
g1170	164.73907521237854	172.26613553309014	155.88656882082094	166.7818462687215	115.03952065589726	115.55266205245634
